"","ensembl_gene_id","entrezgene_id"
"317","ENSMUSG00000001783",28088
"318","ENSMUSG00000001785",103136
"319","ENSMUSG00000001786",69754
"320","ENSMUSG00000001794",12336
"321","ENSMUSG00000001802",435965
"322","ENSMUSG00000001804",16769
"323","ENSMUSG00000001815",14029
"324","ENSMUSG00000001819",15433
"325","ENSMUSG00000001823",15432
"326","ENSMUSG00000001827",14275
"327","ENSMUSG00000001829",20480
"328","ENSMUSG00000001833",235072
"329","ENSMUSG00000001844",72881
"330","ENSMUSG00000001847",19353
"331","ENSMUSG00000001855",227720
"332","ENSMUSG00000001864",108897
"333","ENSMUSG00000001865",12873
"334","ENSMUSG00000001870",268977
"335","ENSMUSG00000001891",216558
"336","ENSMUSG00000001901",192775
"337","ENSMUSG00000001909",212528
"338","ENSMUSG00000001910",66830
"339","ENSMUSG00000001911",18032
"340","ENSMUSG00000001918",20514
"341","ENSMUSG00000001924",22201
"342","ENSMUSG00000001930",22371
"343","ENSMUSG00000001942",22619
"344","ENSMUSG00000001943",57276
"345","ENSMUSG00000001946",69524
"346","ENSMUSG00000001948",20686
"347","ENSMUSG00000001962",108160
"348","ENSMUSG00000001964",13726
"349","ENSMUSG00000001983",70207
"350","ENSMUSG00000001985",14807
"351","ENSMUSG00000001986",53623
"352","ENSMUSG00000001988",18142
"353","ENSMUSG00000001995",244668
"354","ENSMUSG00000001998",108011
"355","ENSMUSG00000001999",109778
"356","ENSMUSG00000002006",245469
"357","ENSMUSG00000002007",56504
"358","ENSMUSG00000002010",15929
"359","ENSMUSG00000002012",93843
"360","ENSMUSG00000002014",20832
"361","ENSMUSG00000002015",27061
"362","ENSMUSG00000002017",72722
"363","ENSMUSG00000002020",16997
"364","ENSMUSG00000002028",214162
"365","ENSMUSG00000002031",76568
"366","ENSMUSG00000002032",71687
"367","ENSMUSG00000002033",12502
"368","ENSMUSG00000002043",67091
"369","ENSMUSG00000002052",20926
"370","ENSMUSG00000002055",54141
"371","ENSMUSG00000002057",15218
"372","ENSMUSG00000002058",22248
"373","ENSMUSG00000002059",19376
"374","ENSMUSG00000002064",20316
"375","ENSMUSG00000002068",12447
"376","ENSMUSG00000002076",74377
"377","ENSMUSG00000002083",170770
"378","ENSMUSG00000002100",17868
"379","ENSMUSG00000002102",19182
"380","ENSMUSG00000002103",11432
"381","ENSMUSG00000002104",19400
"382","ENSMUSG00000002105",68427
"383","ENSMUSG00000002107",14007
"384","ENSMUSG00000002108",22259
"385","ENSMUSG00000002109",107986
"386","ENSMUSG00000002111",20375
"387","ENSMUSG00000002129",67465
"388","ENSMUSG00000002147",20852
"389","ENSMUSG00000002190",12745
"390","ENSMUSG00000002204",16541
"391","ENSMUSG00000002205",101568
"392","ENSMUSG00000002210",71997
"393","ENSMUSG00000002221",55982
"394","ENSMUSG00000002222",68477
"395","ENSMUSG00000002227",17454
"396","ENSMUSG00000002228",71887
"397","ENSMUSG00000002233",11853
"398","ENSMUSG00000002240",73779
"399","ENSMUSG00000002249",21678
"400","ENSMUSG00000002250",19015
"401","ENSMUSG00000002250",69050
"402","ENSMUSG00000002257",23853
"403","ENSMUSG00000002265",18616
"404","ENSMUSG00000002266",22776
"405","ENSMUSG00000002274",70083
"406","ENSMUSG00000002279",76483
"407","ENSMUSG00000002280",67563
"408","ENSMUSG00000002289",57875
"409","ENSMUSG00000002297",27214
"410","ENSMUSG00000002307",13163
"411","ENSMUSG00000002308",54219
"412","ENSMUSG00000002319",75751
"413","ENSMUSG00000002320",74140
"414","ENSMUSG00000002324",56739
"415","ENSMUSG00000002325",16391
"416","ENSMUSG00000002326",105446
"417","ENSMUSG00000002329",67881
"418","ENSMUSG00000002332",52585
"419","ENSMUSG00000002341",13004
"420","ENSMUSG00000002342",234371
"421","ENSMUSG00000002343",76813
"422","ENSMUSG00000002345",72368
"423","ENSMUSG00000002346",73095
"424","ENSMUSG00000002365",66616
"425","ENSMUSG00000002372",71810
"426","ENSMUSG00000002379",69875
"427","ENSMUSG00000002384",12164
"428","ENSMUSG00000002393",13864
"429","ENSMUSG00000002395",67023
"430","ENSMUSG00000002396",77090
"431","ENSMUSG00000002409",13549
"432","ENSMUSG00000002413",109880
"433","ENSMUSG00000002416",68198
"434","ENSMUSG00000002428",20585
"435","ENSMUSG00000002455",68879
"436","ENSMUSG00000002458",56470
"437","ENSMUSG00000002459",58175
"438","ENSMUSG00000002475",106861
"439","ENSMUSG00000002477",20641
"440","ENSMUSG00000002486",77832
"441","ENSMUSG00000002489",21844
"442","ENSMUSG00000002496",22084
"443","ENSMUSG00000002500",66211
"444","ENSMUSG00000002504",65962
"445","ENSMUSG00000002524",67959
"446","ENSMUSG00000002546",99412
"447","ENSMUSG00000002550",22245
"448","ENSMUSG00000002565",20259
"449","ENSMUSG00000002578",22781
"450","ENSMUSG00000002580",103742
"451","ENSMUSG00000002588",18979
"452","ENSMUSG00000002602",26362
"453","ENSMUSG00000002603",21803
"454","ENSMUSG00000002608",52132
"455","ENSMUSG00000002617",22700
"456","ENSMUSG00000002625",54194
"457","ENSMUSG00000002633",20423
"458","ENSMUSG00000002635",68079
"459","ENSMUSG00000002658",98053
"460","ENSMUSG00000002660",53895
"461","ENSMUSG00000002661",66400
"462","ENSMUSG00000002664",19197
"463","ENSMUSG00000002668",70785
"464","ENSMUSG00000002679",69792
"465","ENSMUSG00000002688",18760
"466","ENSMUSG00000002699",16822
"467","ENSMUSG00000002718",110750
"468","ENSMUSG00000002728",67877
"469","ENSMUSG00000002731",23992
"470","ENSMUSG00000002732",14231
"471","ENSMUSG00000002733",83435
"472","ENSMUSG00000002741",56418
"473","ENSMUSG00000002748",22385
"474","ENSMUSG00000002763",224824
"475","ENSMUSG00000002767",27398
"476","ENSMUSG00000002768",17256
"477","ENSMUSG00000002769",14711
"478","ENSMUSG00000002771",14814
"479","ENSMUSG00000002778",68137
"480","ENSMUSG00000002781",70209
"481","ENSMUSG00000002791",435518
"482","ENSMUSG00000002797",110175
"483","ENSMUSG00000002799",16450
"484","ENSMUSG00000002803",399566
"485","ENSMUSG00000002804",66174
"486","ENSMUSG00000002808",105298
"487","ENSMUSG00000002812",14248
"488","ENSMUSG00000002814",21975
"489","ENSMUSG00000002820",235040
"490","ENSMUSG00000002825",60507
"491","ENSMUSG00000002831",57435
"492","ENSMUSG00000002833",15193
"493","ENSMUSG00000002835",27221
"494","ENSMUSG00000002844",11544
"495","ENSMUSG00000002845",67846
"496","ENSMUSG00000002846",76916
"497","ENSMUSG00000002847",85031
"498","ENSMUSG00000002870",17216
"499","ENSMUSG00000002871",24100
"500","ENSMUSG00000002881",17936
"501","ENSMUSG00000002885",26364
"502","ENSMUSG00000002897",16172
"503","ENSMUSG00000002900",16777
"504","ENSMUSG00000002908",84036
"505","ENSMUSG00000002910",70807
"506","ENSMUSG00000002930",19051
"507","ENSMUSG00000002944",12491
"508","ENSMUSG00000002948",26400
"509","ENSMUSG00000002949",21856
"510","ENSMUSG00000002957",11772
"511","ENSMUSG00000002963",59047
"512","ENSMUSG00000002968",75613
"513","ENSMUSG00000002980",57278
"514","ENSMUSG00000002981",56457
"515","ENSMUSG00000002983",19698
"516","ENSMUSG00000002984",53333
"517","ENSMUSG00000002985",11816
"518","ENSMUSG00000002992",11813
"519","ENSMUSG00000002996",73389
"520","ENSMUSG00000002997",19088
"521","ENSMUSG00000003031",12576
"522","ENSMUSG00000003032",16600
"523","ENSMUSG00000003033",11767
"524","ENSMUSG00000003037",17274
"525","ENSMUSG00000003038",15331
"526","ENSMUSG00000003039",67922
"527","ENSMUSG00000003051",13710
"528","ENSMUSG00000003053",13095
"529","ENSMUSG00000003062",76205
"530","ENSMUSG00000003068",20869
"531","ENSMUSG00000003070",13637
"532","ENSMUSG00000003072",66043
"533","ENSMUSG00000003099",19060
"534","ENSMUSG00000003119",69131
"535","ENSMUSG00000003123",16890
"536","ENSMUSG00000003131",18475
"537","ENSMUSG00000003134",54610
"538","ENSMUSG00000003135",52846
"539","ENSMUSG00000003153",20527
"540","ENSMUSG00000003154",60611
"541","ENSMUSG00000003161",109552
"542","ENSMUSG00000003166",13356
"543","ENSMUSG00000003184",54131
"544","ENSMUSG00000003190",75736
"545","ENSMUSG00000003198",224893
"546","ENSMUSG00000003199",68047
"547","ENSMUSG00000003200",20405
"548","ENSMUSG00000003206",50498
"549","ENSMUSG00000003208",72886
"550","ENSMUSG00000003226",19386
"551","ENSMUSG00000003227",13608
"552","ENSMUSG00000003228",14773
"553","ENSMUSG00000003233",13544
"554","ENSMUSG00000003234",27406
"555","ENSMUSG00000003235",224045
"556","ENSMUSG00000003269",19158
"557","ENSMUSG00000003271",54200
"558","ENSMUSG00000003271",545963
"559","ENSMUSG00000003273",12348
"560","ENSMUSG00000003279",224997
"561","ENSMUSG00000003282",56711
"562","ENSMUSG00000003283",15162
"563","ENSMUSG00000003299",66163
"564","ENSMUSG00000003308",50868
"565","ENSMUSG00000003309",11768
"566","ENSMUSG00000003316",20340
"567","ENSMUSG00000003341",67331
"568","ENSMUSG00000003344",208198
"569","ENSMUSG00000003345",103236
"570","ENSMUSG00000003346",216169
"571","ENSMUSG00000003348",208228
"572","ENSMUSG00000003352",12297
"573","ENSMUSG00000003354",105833
"574","ENSMUSG00000003355",66120
"575","ENSMUSG00000003360",74351
"576","ENSMUSG00000003363",18807
"577","ENSMUSG00000003378",14809
"578","ENSMUSG00000003379",12518
"579","ENSMUSG00000003380",14470
"580","ENSMUSG00000003382",27049
"581","ENSMUSG00000003402",19089
"582","ENSMUSG00000003410",15571
"583","ENSMUSG00000003411",69908
"584","ENSMUSG00000003418",241230
"585","ENSMUSG00000003420",14132
"586","ENSMUSG00000003421",66394
"587","ENSMUSG00000003423",68845
"588","ENSMUSG00000003429",27207
"589","ENSMUSG00000003435",20924
"590","ENSMUSG00000003436",13389
"591","ENSMUSG00000003437",54624
"592","ENSMUSG00000003438",66525
"593","ENSMUSG00000003444",67224
"594","ENSMUSG00000003452",12121
"595","ENSMUSG00000003458",59287
"596","ENSMUSG00000003464",19298
"597","ENSMUSG00000003469",105653
"598","ENSMUSG00000003476",12922
"599","ENSMUSG00000003477",21743
"600","ENSMUSG00000003484",72054
"601","ENSMUSG00000003500",23917
"602","ENSMUSG00000003505",26438
"603","ENSMUSG00000003518",72349
"604","ENSMUSG00000003526",19125
"605","ENSMUSG00000003527",27886
"606","ENSMUSG00000003528",13358
"607","ENSMUSG00000003531",13353
"608","ENSMUSG00000003534",12305
"609","ENSMUSG00000003541",15937
"610","ENSMUSG00000003545",14282
"611","ENSMUSG00000003546",74764
"612","ENSMUSG00000003549",13870
"613","ENSMUSG00000003555",13074
"614","ENSMUSG00000003559",57344
"615","ENSMUSG00000003573",26558
"616","ENSMUSG00000003575",382056
"617","ENSMUSG00000003581",71673
"618","ENSMUSG00000003585",67815
"619","ENSMUSG00000003604",74268
"620","ENSMUSG00000003617",12870
"621","ENSMUSG00000003623",74114
"622","ENSMUSG00000003644",20111
