"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000000157",35.370792444569,-0.615669253610491,0.654196076137682,0.0448285646996573,0.20380433601099
"ENSSSCG00000000158",852.344363000086,0.545550628666811,0.269583140666575,0.0131639417400477,0.0983610142082663
"ENSSSCG00000000159",0,NA,NA,NA,NA
"ENSSSCG00000000160",1037.58932344243,-0.217844419806769,0.283387363424786,0.32457401577742,0.604521757925095
"ENSSSCG00000000161",510.664316449969,0.348066164308812,0.26190760784561,0.0978308346427174,0.315325137888221
"ENSSSCG00000000162",83.1843876479941,0.631751700719728,0.548620034442879,0.0338083475826248,0.172584692441583
"ENSSSCG00000000164",279.686535923655,0.542263080994834,0.316225237122125,0.0244392266704584,0.141447436218239
"ENSSSCG00000000167",343.241580454967,0.0430727268577654,0.270972596650307,0.838361859626376,0.934202815528385
"ENSSSCG00000000171",289.266580085697,0.293764195750847,0.364325897553835,0.205871216605534,0.477777548494582
"ENSSSCG00000000174",1.06101909889095,-0.0109745322448224,0.416805540681261,0.831272514139885,NA
"ENSSSCG00000000175",2334.55223944257,-0.100731369430143,0.239402084140101,0.609617202454336,0.813094697635476
"ENSSSCG00000000176",767.559689969062,0.273561399071636,0.257603209200792,0.185973545784672,0.45420537445392
"ENSSSCG00000000179",160.63431556736,-1.1734160912284,0.418238969554719,0.000530576055756985,0.0113381664523307
"ENSSSCG00000000182",14.1287393997512,0.289347791565174,0.514361282879635,0.10066040303228,0.320519908764689
"ENSSSCG00000000183",1.19142798394255,-0.0467752442783747,0.420528243070874,0.400851500834246,NA
"ENSSSCG00000000184",100.671783694206,1.5235351876636,0.695758510054704,0.00113702621654903,0.019271475650615
"ENSSSCG00000000185",584.094028337922,0.193603022865227,0.221658919397059,0.304193833990549,0.585138041614194
"ENSSSCG00000000186",14.4619935891652,-1.53347027877886,1.17064697861551,0.0075607982348153,0.067643798749535
"ENSSSCG00000000188",14.769924920009,0.0418023402612713,0.401642938139304,0.742070106258985,0.887255848301878
"ENSSSCG00000000189",276.427930933616,0.202048448493383,0.259367810542376,0.323098160101558,0.602775133973064
"ENSSSCG00000000190",13754.9867356575,0.301659191317917,0.332711637661444,0.188396711700195,0.45765943141898
"ENSSSCG00000000194",1251.82208876164,-0.525355093603654,0.489513108871476,0.0634046577604388,0.246810062827759
"ENSSSCG00000000195",39.5607546834991,-0.0984620690110225,0.367724407414725,0.605604961325445,0.810700524357156
"ENSSSCG00000000197",78.5908720916544,0.0759510492535127,0.317986298241596,0.720119921635332,0.875481508725682
"ENSSSCG00000000198",167.267998658085,0.418595739280502,0.36616619013934,0.0901649654972472,0.301701998314845
"ENSSSCG00000000199",498.089273068234,-0.778559352590346,0.384797658619533,0.00745264725195572,0.0672671607631564
"ENSSSCG00000000202",777.732952658526,0.359243243558029,0.275478121214566,0.0969420354189862,0.314332378090098
"ENSSSCG00000000203",118.505943288036,-0.684931933362788,0.486575358043735,0.0273789490764714,0.151475534613155
"ENSSSCG00000000204",1208.64687383438,-0.768709313911284,0.351113030829978,0.00556297830247587,0.0552478384977019
"ENSSSCG00000000205",78.8311944222014,0.0814039513198628,0.316364323592965,0.701517101045691,0.865940169872634
"ENSSSCG00000000206",18.68442464876,0.129113189352266,0.379082969781228,0.499640779471663,0.741748878985955
"ENSSSCG00000000207",5.56634063467883,0.288508648859342,0.550739981145681,0.0385337857531317,0.186364651923454
"ENSSSCG00000000209",737.735471073897,-0.233952918237244,0.258965104189391,0.260216036357645,0.541029355657522
"ENSSSCG00000000211",38.6299917193802,0.305539297099586,0.474525028393747,0.149157173721786,0.40221706060255
"ENSSSCG00000000212",60.297076865354,0.0831054178159594,0.430424576522821,NA,NA
"ENSSSCG00000000214",773.876001832333,-1.281724041992,0.415162811830211,0.00020192583222951,0.00567699198058899
"ENSSSCG00000000215",1161.15320272938,-0.426401219984847,0.236563869556747,0.0336945248919684,0.17214561289915
"ENSSSCG00000000216",7.42081348662045,0.0504500021613846,0.405314108207609,0.674604005525761,0.85089045047095
"ENSSSCG00000000217",432.972210424265,-0.274445043374151,0.334879844121687,0.234884448937749,0.513004313384211
"ENSSSCG00000000220",190.213972771477,0.109544043088532,0.263683790595336,0.59678830089068,0.805439918262619
"ENSSSCG00000000223",13.223377280447,-0.764212179148209,1.07216923780605,0.0254417172844484,0.144579714546802
"ENSSSCG00000000228",36.9791052665261,-0.10704785353319,0.354717724722731,0.594659944917,0.804534126965136
"ENSSSCG00000000231",0,NA,NA,NA,NA
"ENSSSCG00000000232",632.739998132074,0.158297896991585,0.313097372731294,0.467087202947824,0.71835365706179
"ENSSSCG00000000233",622.824732618541,-0.120588153736961,0.278235701838682,0.565483690277684,0.788125216760212
"ENSSSCG00000000234",256.477336013267,0.245468643522109,0.345210668593069,0.277718084196603,0.559846744820015
"ENSSSCG00000000235",0,NA,NA,NA,NA
"ENSSSCG00000000236",0,NA,NA,NA,NA
"ENSSSCG00000000238",0,NA,NA,NA,NA
"ENSSSCG00000000239",1.62544125448538,-0.0786346885549748,0.430022604603347,0.128284001566919,NA
"ENSSSCG00000000240",2.10843128304102,0.00522867517768662,0.413472352401117,0.944797284447266,NA
"ENSSSCG00000000241",0,NA,NA,NA,NA
"ENSSSCG00000000247",0,NA,NA,NA,NA
"ENSSSCG00000000248",0,NA,NA,NA,NA
"ENSSSCG00000000249",0,NA,NA,NA,NA
"ENSSSCG00000000250",0,NA,NA,NA,NA
"ENSSSCG00000000251",0,NA,NA,NA,NA
