"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000009202",213.915451726768,2.09616915260827,1.34827932680677,0.00175845110751292,0.0258130681401941
"ENSSSCG00000009216",4382.63940115737,2.02376439502809,0.532183711212651,5.62785844308407e-06,0.000366468349271478
"ENSSSCG00000009217",2693.16664152588,4.15310750647339,1.04597162458194,1.22901180999272e-06,0.000111428443959579
"ENSSSCG00000009222",2456.55133781187,1.2536341933014,0.523139940490733,0.000977826492170825,0.0172521733707123
"ENSSSCG00000009316",22.3013157775661,2.46743512861054,1.28397611417954,0.00108348241489246,0.0185632082095815
"ENSSSCG00000009320",410.115114801378,1.27669585050236,0.482476426545461,0.000498643328282716,0.0108132848740307
"ENSSSCG00000009331",113.073305755648,1.87452751619504,0.470316954068653,3.27799754440257e-06,0.000236177853493857
"ENSSSCG00000009370",888.169443492771,1.07415853079906,0.262170583113527,4.49149604234773e-06,0.000302880279382374
"ENSSSCG00000009434",1343.56540674238,1.14248683751284,0.495508096095723,0.00144133329616784,0.0226091263485798
"ENSSSCG00000009488",98.732069777494,1.66927967487897,0.558717206918059,0.000124790832801113,0.00404907789511694
"ENSSSCG00000009558",130.506855995761,2.26331523128681,0.530732696363053,7.6274311794839e-07,7.48871468497619e-05
"ENSSSCG00000009592",451.864302728194,2.16153957755584,0.44290840952062,4.58217017328869e-08,7.96582959758233e-06
"ENSSSCG00000009672",394.595245495432,1.7970549363275,0.683320410232563,0.00029588654274285,0.00739677321693175
"ENSSSCG00000009825",226.574091221955,1.01125601148338,0.538363265451415,0.0044299766326753,0.0479403924686261
"ENSSSCG00000009865",628.403691953215,1.01311862095445,0.453343069428369,0.00215687728468439,0.0297700328491696
"ENSSSCG00000009945",116.344075350098,2.11050462635332,0.451789204198282,1.35381431055229e-07,1.9434414674739e-05
"ENSSSCG00000010012",58.9772719042139,1.43801435278344,0.920916984279449,0.00353746368739176,0.0411330645495577
"ENSSSCG00000010030",467.20986382834,1.47671388818337,0.394316654111903,1.08190243792875e-05,0.000608337367843081
"ENSSSCG00000010204",214.76944001128,1.36180729886077,0.470015258109943,0.000225093111196264,0.00612828931617529
"ENSSSCG00000010283",1635.05387959293,1.07925165049914,0.529030290757869,0.00283682297470505,0.0356938635774808
"ENSSSCG00000010325",48.8632134707406,2.13396096455042,0.886576016945298,0.000454704852359542,0.0101129134358697
"ENSSSCG00000010332",679.288081420496,1.71022807269062,0.549155739756837,8.37549758361312e-05,0.00299447742852613
"ENSSSCG00000010352",55.7351704149207,1.22203904275376,0.518123810231449,0.00119041172904027,0.019744139871634
"ENSSSCG00000010447",7881.9654759288,1.34605755136588,0.48120929558954,0.00030459238481732,0.00754258384136268
"ENSSSCG00000010494",531.284675024542,1.06870323371189,0.382212209786321,0.000460246901935754,0.0102121997011482
"ENSSSCG00000010517",4975.65075769293,1.17808797961728,0.388047939288301,0.000186319621452429,0.00534621212676082
"ENSSSCG00000010525",617.421499494028,1.17141694427881,0.330775982341355,3.36099191506748e-05,0.00144744172269577
"ENSSSCG00000010607",28.0145854990842,1.82657007748252,0.929989605091736,0.00145236334072331,0.0227444900358397
"ENSSSCG00000010653",71.7726614404552,1.314887377831,0.596862765436997,0.00141698584936994,0.0224025225851827
"ENSSSCG00000010686",1093.23267171626,1.66293018902002,0.295592408931493,1.07896179847965e-09,3.40754118656515e-07
