"","Mouse.gene.stable.ID","DownLFC"
"181","ENSMUSG00000026616","-2.24323906923623"
"182","ENSMUSG00000026691","-2.37167837783046"
"183","ENSMUSG00000026692","-2.12300109045545"
"184","ENSMUSG00000026725","-3.48224491223274"
"185","ENSMUSG00000026726","-2.10056977568329"
"186","ENSMUSG00000026824","-2.73475925184223"
"187","ENSMUSG00000026839","-2.4665349113497"
"188","ENSMUSG00000026866","-2.24145783997949"
"189","ENSMUSG00000027070","-2.56328191558277"
"190","ENSMUSG00000027071","-2.47093410073267"
"191","ENSMUSG00000027199","-3.25265692178794"
"192","ENSMUSG00000027202","-2.07374501440344"
"193","ENSMUSG00000027227","-2.23925656744696"
"194","ENSMUSG00000027233","-2.04119192047575"
"195","ENSMUSG00000027355","-3.01212435425795"
"196","ENSMUSG00000027359","-2.18127427650855"
"197","ENSMUSG00000027513","-3.16231743756567"
"198","ENSMUSG00000027530","-2.80733616208933"
"199","ENSMUSG00000027577","-2.3302234672081"
"200","ENSMUSG00000027674","-2.62408040603466"
"201","ENSMUSG00000027744","-2.72826173176307"
"202","ENSMUSG00000027761","-2.10805107503808"
"203","ENSMUSG00000027762","-2.63197778609386"
"204","ENSMUSG00000027801","-2.19523546413964"
"205","ENSMUSG00000027870","-2.81171125061121"
"206","ENSMUSG00000027887","-2.48336787196813"
"207","ENSMUSG00000027896","-3.64281457767596"
"208","ENSMUSG00000027902","-2.33590059653076"
"209","ENSMUSG00000027961","-2.53726316445151"
"210","ENSMUSG00000027965","-2.36485522804593"
"211","ENSMUSG00000027971","-2.59657032774669"
"212","ENSMUSG00000028003","-2.58922009309175"
"213","ENSMUSG00000028012","-2.17640160950611"
"214","ENSMUSG00000028017","-4.41091628267365"
"215","ENSMUSG00000028177","-2.62592903367927"
"216","ENSMUSG00000028179","-2.1317292968226"
"217","ENSMUSG00000028222","-2.40420014863821"
"218","ENSMUSG00000028248","-2.00920101395675"
"219","ENSMUSG00000028307","-2.26019886312901"
"220","ENSMUSG00000028310","-2.99776009922172"
"221","ENSMUSG00000028356","-2.36378039171681"
